,County,Zip_Code
894,Sacramento County,95624
895,Orange County,92604
896,Placer County,96146
897,Shasta County,96003
898,San Diego County,91945
899,Kern County,93523
900,Napa County,94576
901,Fresno County,93664
902,Sacramento County,95832
903,Orange County,92808
904,Sonoma County,95450
905,Sacramento County,95816
906,Santa Clara County,95119
907,San Joaquin County,95212
908,Contra Costa County,94598
909,Mariposa County,93623
910,Yuba County,95903
911,Tehama County,96035
912,Los Angeles County,90035
913,Los Angeles County,90230
914,Los Angeles County,90021
915,Tehama County,96055
916,Los Angeles County,90062
917,San Diego County,92117
918,San Diego County,92118
919,Kern County,93263
920,Lassen County,96130
921,Fresno County,93626
922,San Diego County,92014
923,Los Angeles County,90007
924,Sonoma County,95446
925,San Bernardino County,92347
926,Alameda County,94612
927,Fresno County,93608
928,Alameda County,94619
929,San Joaquin County,95220
930,Kern County,93309
931,Santa Clara County,95122
932,Imperial County,92249
933,Santa Barbara County,93109
934,Los Angeles County,90028
935,Tulare County,93603
936,Santa Clara County,95130
937,San Bernardino County,92392
938,San Diego County,92110
939,Imperial County,92257
940,Contra Costa County,94803
941,Los Angeles County,90262
942,Merced County,93620
943,Sierra County,96124
944,San Bernardino County,92359
945,Del Norte County,95548
946,Santa Cruz County,95019
947,Monterey County,93450
948,San Diego County,92124
949,Los Angeles County,91007
950,Ventura County,93023
951,San Diego County,92109
952,Tulare County,93235
953,Lake County,95464
954,Sonoma County,95439
955,Lassen County,96137
956,Sacramento County,95621
957,Los Angeles County,90038
958,Contra Costa County,94561
959,Riverside County,92501
960,Los Angeles County,90037
961,Sonoma County,94928
962,San Diego County,92028
963,Alameda County,94611
964,Kern County,93305
965,San Diego County,92109
966,Los Angeles County,91604
967,San Mateo County,94027
968,Tulare County,93270
969,Fresno County,93646
970,Yuba County,95692
971,Stanislaus County,95386
972,Santa Clara County,95119
973,Los Angeles County,91791
974,San Diego County,92111
975,Siskiyou County,96094
976,Contra Costa County,94519
977,Sacramento County,95662
978,Tulare County,93277
979,San Diego County,91916
980,Fresno County,93705
981,Santa Clara County,95014
982,Fresno County,93727
983,San Diego County,91980
984,Santa Barbara County,93111
985,Los Angeles County,90270
986,San Diego County,91913
987,Stanislaus County,95354
988,San Diego County,92078
989,Shasta County,96073
990,San Mateo County,94401
991,Los Angeles County,91706
992,Los Angeles County,90710
993,Contra Costa County,94805
994,Placer County,95722
995,Monterey County,93960
996,San Diego County,92027
997,Calaveras County,95247
998,Kern County,93301
999,Sacramento County,95624
1000,Stanislaus County,95323
1001,Kern County,93561
1002,Sacramento County,95821
1003,Ventura County,93010
1004,Sonoma County,95404
1005,Santa Barbara County,93101
1006,San Diego County,92129
1007,Los Angeles County,90804
1008,San Diego County,92028
1009,San Diego County,92021
1010,Los Angeles County,91773
